iter	MultiClass
0	1.033043163
1	0.9804040048
2	0.93871437443	0.9036691634
4	0.8731419143
5	0.848886170766	0.827935700877	0.809915507888	0.794169114399	0.7808198639
10	0.7688324966111	0.7575225373112	0.7476879857113	0.7381900243114	0.7307434297115	0.7232244457116	0.7167031181117	0.7106984788118	0.7059294591919	0.7005013232020	0.6957286182121	0.69180688022	0.686980194
23	0.6842936837
24	0.681155983
25	0.678189887
26	0.6742490303
27	0.6706878138
28	0.6676452606
29	0.6641060006
30	0.661152963
31	0.6595278728
32	0.6577414436
33	0.6561887784
34	0.654342469
35	0.6522236403
36	0.6504524922
37	0.6485179107
38	0.6468044984
39	0.6439	0.647340	0.640	0.6439441	0.641	0.6422642	0.642	0.6411343	0.43	0.63951644	0.44	0.6386478288
45	0.6372425736
46	0.6356445344
47	0.633775807
48	0.6327719831
49	0.6315097871
50	0.6302929776
51	0.6294670133
52	0.6281317456
53	0.6272799408
54	0.6266477485
55	0.6252289264
56	0.6242305678557	0.6231650681558	0.6218341955959	0.6211904860	60	0.6201076761	61	0.6195776606
62	0.6185656111
63	0.6169689405
64	0.6162169387
65	0.6153942566	66	0.6144949637
67	0.6136726568	68	0.612652546969	0.6118756653
70	0.6108758957171	0.6098945734
72	0.6090581437
73	0.6083280966
74	0.607486642
75	0.6065038944
76	0.605518958
77	0.6048965659
78	0.603858985
79	0.6031621816
80	0.6024099337
81	0.60128966
82	0.6006690989
83	0.6001424964
84	0.5995221336
85	0.598918599
86	0.598416299
87	0.597654785
88	0.5963892131
89	0.5954772676
90	0.59508496
91	0.594677619
92	0.5940796365
93	0.5933109159
94	0.5923960909
95	0.5919406442
96	0.5911774328
97	0.5907791397
98	0.5900605416
99	0.5895627214
100	0.588564881
101	0.5879101619
102	0.5872638541
103	0.5866262534
104	0.5862388414
105	0.5855903901
106	0.5850159975
107	0.5845611127
108	0.5838929815
109	0.583395596
110	0.5829015977
111	0.5825538088
112	0.5818114911
113	0.5814883733
114	0.5806812903
115	0.5801474394
116	0.5797623969
117	0.5791524143
118	0.5786205924
119	0.5778026581
120	0.5772536119
121	0.5767141689
122	0.5760687979
123	0.5756567571
124	0.5752910892
125	0.5748507554
126	0.5743811559
127	0.5737101671
128	0.5729449433
129	0.572535735
130	0.571886579
131	0.5711399289
132	0.570700773
133	0.5701886382
134	0.5699001938
135	0.5692766833
136	0.5685480047
137	0.5682394882
138	0.5677715322
139	0.5673157043
140	0.5669227974
141	0.5663752458
142	0.5660110355
143	0.5657631212
144	0.5652420226
145	0.5647253441
146	0.5643143499
147	0.5640873189
148	0.5636450491
149	0.5631968452
150	0.5627444227
151	0.5621997487
152	0.5616768145
153	0.5610907218
154	0.5607808615
155	0.5603730271
156	0.5597736589
157	0.5591184936
158	0.5588036034
159	0.558512087
160	0.5579391766
161	0.5575916455
162	0.5572012972
163	0.5568445676
164	0.556376754
165	0.5558658061
166	0.5555529953
167	0.5552984179
168	0.5547496369
169	0.5543748154
170	0.5539789094
171	0.5536651018
172	0.5534195976
173	0.5530067112
174	0.5526205103
175	0.5523704745
176	0.5518816146
177	0.5516572322
178	0.5512811207
179	0.5509627136
180	0.5506682376
181	0.5503895595
182	0.5500800462
183	0.5497631194
184	0.5495312548
185	0.5491257161
186	0.5486555206
187	0.5481760825
188	0.5478421442
189	0.5475625202
190	0.5473216451
191	0.5471149606
192	0.5467745902
193	0.54636408471194	0.54596184911195	0.54560286041196	0.54514480621197	0.54488569641198	0.5445984207199	0.5435307525
200	0.5432395666
201	0.5428976908
202	0.5427010632
203	0.5425144421
204	0.5420514177
205	0.5417416255
206	0.5414412718
207	0.541232585
208	0.5409950848
209	0.5405719726
210	0.5402246896
211	0.539941232
212	0.5396459158
213	0.5393036365
214	0.53911635
215	0.538794763
216	0.538579033
217	0.538332074
218	0.5379646711
219	0.5378091512
220	0.5375256157
221	0.5373088189
222	0.5371660214
223	0.5369087755
224	0.5367177956
225	0.5365430365
226	0.5362078819
227	0.5360624185
228	0.5356361288
